"Bulan Bongkar 1","Supply site","No SI","Vendor","TYPE","SHIPPING LINE","Delivery Date","COMPANY"
"Type D","NDC HCI jababeka","260407T063","PB-PORT TO DOOR","Cont-40","H015 WH HCI SAMARINDA","7 Apr 2026",""
"Type D","NDC HCI jababeka","260407T065","PB-PORT TO DOOR","Cont-40","H013 WH HCI BANJARMASIN","7 Apr 2026",""
"Type D","NDC HCI jababeka","260404H069","CGS-DOOR TO POR","Cont-20","DUMMY CUSTOMER","4 Apr 2026",""
"Type D","NDC HCI jababeka","260404T065","CGS-DOOR TO POR","Cont-20","DUMMY CUSTOMER","4 Apr 2026",""
"Type D","NDC HCI jababeka","260404T066","CGS-DOOR TO POR","Cont-40","DUMMY CUSTOMER","4 Apr 2026",""
"Type D","NDC HCI jababeka","260406T048","CGS-DOOR TO POR","Cont-40","DUMMY CUSTOMER","6 Apr 2026",""
"Type D","NDC HCI jababeka","260406T049","CGS-DOOR TO POR","Cont-40","DUMMY CUSTOMER","6 Apr 2026",""
"Type D","NDC HCI jababeka","260406T050","CGS-DOOR TO POR","Cont-40","DUMMY CUSTOMER","6 Apr 2026",""
"Type D","NDC HCI jababeka","260407T010","PB-PORT TO DOOR","Cont-40","H019 WH HCI TALLO MAKASSAR","7 Apr 2026",""
"Type D","NDC HCI jababeka","260407T053","PB-PORT TO DOOR","Cont-40","H019 WH HCI TALLO MAKASSAR","7 Apr 2026",""
"Type D","NDC HCI jababeka","260407T064","PB-PORT TO DOOR","Cont-40","H015 WH HCI SAMARINDA","7 Apr 2026",""
"Type D","NDC HCI jababeka","260407T066","CGS-DOOR TO POR","Cont-40","H015 WH HCI SAMARINDA","7 Apr 2026",""
"Type D","NDC HCI jababeka","260407T067","CGS-DOOR TO POR","Cont-40","H015 WH HCI SAMARINDA","7 Apr 2026",""
"Type D","NDC HCI jababeka","260407T068","CGS-DOOR TO POR","Cont-40","H013 WH HCI BANJARMASIN","7 Apr 2026",""
"Type D","NDC HCI jababeka","260408T072","CGS-DOOR TO POR","Cont-40","H019 WH HCI TALLO MAKASSAR","7 Apr 2026",""
"Type D","NDC HCI jababeka","260408T073","CGS-DOOR TO POR","Cont-40","H019 WH HCI TALLO MAKASSAR","7 Apr 2026",""
"Type D","NDC HCI jababeka","260408T012","PB-PORT TO DOOR","Cont-40","H019 WH HCI TALLO MAKASSAR","8 Apr 2026",""
"Type D","NDC HCI jababeka","260408T066","PB-PORT TO DOOR","Cont-40","H035 WH HCI PONTIANAK","8 Apr 2026",""
"Type D","NDC HCI jababeka","260408T071","CGS-DOOR TO POR","Cont-40","H019 WH HCI TALLO MAKASSAR","8 Apr 2026",""
"Type D","NDC HCI jababeka","260409T021","PB-PORT TO DOOR","Cont-40","H035 WH HCI PONTIANAK","9 Apr 2026",""
"Type D","NDC HCI jababeka","260409T031","PB-PORT TO DOOR","Cont-40","H013 WH HCI BANJARMASIN","9 Apr 2026",""
"Type D","NDC HCI jababeka","260409T070","CGS-DOOR TO POR","Cont-40","H035 WH HCI PONTIANAK","9 Apr 2026",""
"Type D","NDC HCI jababeka","260409T071","CGS-DOOR TO POR","Cont-40","H035 WH HCI PONTIANAK","9 Apr 2026",""
"Type D","NDC HCI jababeka","260409T072","CGS-DOOR TO POR","Cont-40","H013 WH HCI BANJARMASIN","9 Apr 2026",""
"Type D","NDC HCI jababeka","260410T048","PB-PORT TO DOOR","Cont-40","H013 WH HCI BANJARMASIN","10 Apr 2026",""
"Type D","NDC HCI jababeka","260410T050","PB-PORT TO DOOR","Cont-40","H035 WH HCI PONTIANAK","11 Apr 2026",""
"Type D","NDC HCI jababeka","260410T064","PB-PORT TO DOOR","Cont-40","H013 WH HCI BANJARMASIN","10 Apr 2026",""
"Type D","NDC HCI jababeka","260410T065","CGS-DOOR TO POR","Cont-40","H013 WH HCI BANJARMASIN","10 Apr 2026",""
"Type D","NDC HCI jababeka","260410T066","CGS-DOOR TO POR","Cont-40","H013 WH HCI BANJARMASIN","10 Apr 2026",""
"Type D","NDC HCI jababeka","260410T067","CGS-DOOR TO POR","Cont-40","H013 WH HCI BANJARMASIN","10 Apr 2026",""
"Type D","NDC HCI jababeka","260411T048","PB-PORT TO DOOR","Cont-40","H013 WH HCI BANJARMASIN","10 Apr 2026",""
"Type D","NDC HCI jababeka","260411T027","PB-PORT TO DOOR","Cont-40","H015 WH HCI SAMARINDA","11 Apr 2026",""
